n,m,diameter_nm,type,transition,E_ii_eV
1,0,0.0783,S,E11S,10.8828
1,0,0.0783,S,E22S,21.7656
1,0,0.0783,S,E33S,43.5312
1,0,0.0783,S,E44S,54.414
1,1,0.1356,M,E11M,18.8496
1,1,0.1356,M,E22M,37.6991
2,0,0.1566,S,E11S,5.4414
2,0,0.1566,S,E22S,10.8828
2,0,0.1566,S,E33S,21.7656
2,0,0.1566,S,E44S,27.207
2,1,0.2071,S,E11S,4.1133
2,1,0.2071,S,E22S,8.2266
2,1,0.2071,S,E33S,16.4532
2,1,0.2071,S,E44S,20.5666
2,2,0.2712,M,E11M,9.4248
2,2,0.2712,M,E22M,18.8496
3,0,0.2349,M,E11M,10.8828
3,0,0.2349,M,E22M,21.7656
3,1,0.2823,S,E11S,3.0183
3,1,0.2823,S,E22S,6.0367
3,1,0.2823,S,E33S,12.0734
3,1,0.2823,S,E44S,15.0917
3,2,0.3413,S,E11S,2.4967
3,2,0.3413,S,E22S,4.9934
3,2,0.3413,S,E33S,9.9867
3,2,0.3413,S,E44S,12.4834
3,3,0.4068,M,E11M,6.2832
3,3,0.4068,M,E22M,12.5664
4,0,0.3132,S,E11S,2.7207
4,0,0.3132,S,E22S,5.4414
4,0,0.3132,S,E33S,10.8828
4,0,0.3132,S,E44S,13.6035
4,1,0.3588,M,E11M,7.1245
4,1,0.3588,M,E22M,14.2489
4,2,0.4143,S,E11S,2.0567
4,2,0.4143,S,E22S,4.1133
4,2,0.4143,S,E33S,8.2266
4,2,0.4143,S,E44S,10.2833
4,3,0.4762,S,E11S,1.7891
4,3,0.4762,S,E22S,3.5782
4,3,0.4762,S,E33S,7.1565
4,3,0.4762,S,E44S,8.9456
4,4,0.5424,M,E11M,4.7124
4,4,0.5424,M,E22M,9.4248
5,0,0.3914,S,E11S,2.1766
5,0,0.3914,S,E22S,4.3531
5,0,0.3914,S,E33S,8.7062
5,0,0.3914,S,E44S,10.8828
5,1,0.4359,S,E11S,1.9546
5,1,0.4359,S,E22S,3.9092
5,1,0.4359,S,E33S,7.8184
5,1,0.4359,S,E44S,9.773
5,2,0.4889,M,E11M,5.2279
5,2,0.4889,M,E22M,10.4559
5,3,0.548,S,E11S,1.5547
5,3,0.548,S,E22S,3.1094
5,3,0.548,S,E33S,6.2187
5,3,0.548,S,E44S,7.7734
5,4,0.6115,S,E11S,1.3934
5,4,0.6115,S,E22S,2.7868
5,4,0.6115,S,E33S,5.5736
5,4,0.6115,S,E44S,6.967
5,5,0.678,M,E11M,3.7699
5,5,0.678,M,E22M,7.5398
6,0,0.4697,M,E11M,5.4414
6,0,0.4697,M,E22M,10.8828
6,1,0.5134,S,E11S,1.6596
6,1,0.5134,S,E22S,3.3192
6,1,0.5134,S,E33S,6.6384
6,1,0.5134,S,E44S,8.2981
6,2,0.5645,S,E11S,1.5092
6,2,0.5645,S,E22S,3.0183
6,2,0.5645,S,E33S,6.0367
6,2,0.5645,S,E44S,7.5459
6,3,0.6214,M,E11M,4.1133
6,3,0.6214,M,E22M,8.2266
6,4,0.6825,S,E11S,1.2483
6,4,0.6825,S,E22S,2.4967
6,4,0.6825,S,E33S,4.9934
6,4,0.6825,S,E44S,6.2417
6,5,0.7468,S,E11S,1.1408
6,5,0.7468,S,E22S,2.2817
6,5,0.7468,S,E33S,4.5633
6,5,0.7468,S,E44S,5.7041
6,6,0.8136,M,E11M,3.1416
6,6,0.8136,M,E22M,6.2832
7,0,0.548,S,E11S,1.5547
7,0,0.548,S,E22S,3.1094
7,0,0.548,S,E33S,6.2187
7,0,0.548,S,E44S,7.7734
7,1,0.5911,M,E11M,4.3244
7,1,0.5911,M,E22M,8.6488
7,2,0.6408,S,E11S,1.3295
7,2,0.6408,S,E22S,2.6591
7,2,0.6408,S,E33S,5.3182
7,2,0.6408,S,E44S,6.6477
7,3,0.6958,S,E11S,1.2244
7,3,0.6958,S,E22S,2.4488
7,3,0.6958,S,E33S,4.8976
7,3,0.6958,S,E44S,6.1221
7,4,0.755,M,E11M,3.3855
7,4,0.755,M,E22M,6.771
7,5,0.8174,S,E11S,1.0424
7,5,0.8174,S,E22S,2.0848
7,5,0.8174,S,E33S,4.1695
7,5,0.8174,S,E44S,5.2119
7,6,0.8823,S,E11S,0.9657
7,6,0.8823,S,E22S,1.9314
7,6,0.8823,S,E33S,3.8628
7,6,0.8823,S,E44S,4.8285
7,7,0.9492,M,E11M,2.6928
7,7,0.9492,M,E22M,5.3856
8,0,0.6263,S,E11S,1.3603
8,0,0.6263,S,E22S,2.7207
8,0,0.6263,S,E33S,5.4414
8,0,0.6263,S,E44S,6.8017
8,1,0.6689,S,E11S,1.2737
8,1,0.6689,S,E22S,2.5475
8,1,0.6689,S,E33S,5.0949
8,1,0.6689,S,E44S,6.3687
8,2,0.7175,M,E11M,3.5622
8,2,0.7175,M,E22M,7.1245
8,3,0.7711,S,E11S,1.105
8,3,0.7711,S,E22S,2.21
8,3,0.7711,S,E33S,4.4199
8,3,0.7711,S,E44S,5.5249
8,4,0.8285,S,E11S,1.0283
8,4,0.8285,S,E22S,2.0567
8,4,0.8285,S,E33S,4.1133
8,4,0.8285,S,E44S,5.1416
8,5,0.8892,M,E11M,2.8745
8,5,0.8892,M,E22M,5.7491
8,6,0.9524,S,E11S,0.8946
8,6,0.9524,S,E22S,1.7891
8,6,0.9524,S,E33S,3.5782
8,6,0.9524,S,E44S,4.4728
8,7,1.0178,S,E11S,0.8371
8,7,1.0178,S,E22S,1.6743
8,7,1.0178,S,E33S,3.3486
8,7,1.0178,S,E44S,4.1857
8,8,1.0848,M,E11M,2.3562
8,8,1.0848,M,E22M,4.7124
9,0,0.7046,M,E11M,3.6276
9,0,0.7046,M,E22M,7.2552
9,1,0.7468,S,E11S,1.1408
9,1,0.7468,S,E22S,2.2817
9,1,0.7468,S,E33S,4.5633
9,1,0.7468,S,E44S,5.7041
9,2,0.7945,S,E11S,1.0723
9,2,0.7945,S,E22S,2.1446
9,2,0.7945,S,E33S,4.2893
9,2,0.7945,S,E44S,5.3616
9,3,0.8468,M,E11M,3.0183
9,3,0.8468,M,E22M,6.0367
9,4,0.9029,S,E11S,0.9437
9,4,0.9029,S,E22S,1.8873
9,4,0.9029,S,E33S,3.7746
9,4,0.9029,S,E44S,4.7183
9,5,0.962,S,E11S,0.8856
9,5,0.962,S,E22S,1.7713
9,5,0.962,S,E33S,3.5425
9,5,0.962,S,E44S,4.4281
9,6,1.0238,M,E11M,2.4967
9,6,1.0238,M,E22M,4.9934
9,7,1.0876,S,E11S,0.7834
9,7,1.0876,S,E22S,1.5667
9,7,1.0876,S,E33S,3.1334
9,7,1.0876,S,E44S,3.9168
9,8,1.1533,S,E11S,0.7388
9,8,1.1533,S,E22S,1.4775
9,8,1.1533,S,E33S,2.9551
9,8,1.1533,S,E44S,3.6939
9,9,1.2204,M,E11M,2.0944
9,9,1.2204,M,E22M,4.1888
10,0,0.7829,S,E11S,1.0883
10,0,0.7829,S,E22S,2.1766
10,0,0.7829,S,E33S,4.3531
10,0,0.7829,S,E44S,5.4414
10,1,0.8248,M,E11M,3.0988
10,1,0.8248,M,E22M,6.1977
10,2,0.8718,S,E11S,0.9773
10,2,0.8718,S,E22S,1.9546
10,2,0.8718,S,E33S,3.9092
10,2,0.8718,S,E44S,4.8865
10,3,0.923,S,E11S,0.9231
10,3,0.923,S,E22S,1.8461
10,3,0.923,S,E33S,3.6923
10,3,0.923,S,E44S,4.6153
10,4,0.9778,M,E11M,2.614
10,4,0.9778,M,E22M,5.2279
10,5,1.0357,S,E11S,0.8227
10,5,1.0357,S,E22S,1.6453
10,5,1.0357,S,E33S,3.2906
10,5,1.0357,S,E44S,4.1133
10,6,1.096,S,E11S,0.7773
10,6,1.096,S,E22S,1.5547
10,6,1.096,S,E33S,3.1094
10,6,1.096,S,E44S,3.8867
10,7,1.1586,M,E11M,2.2062
10,7,1.1586,M,E22M,4.4123
10,8,1.2229,S,E11S,0.6967
10,8,1.2229,S,E22S,1.3934
10,8,1.2229,S,E33S,2.7868
10,8,1.2229,S,E44S,3.4835
10,9,1.2888,S,E11S,0.6611
10,9,1.2888,S,E22S,1.3222
10,9,1.2888,S,E33S,2.6443
10,9,1.2888,S,E44S,3.3054
10,10,1.356,M,E11M,1.885
10,10,1.356,M,E22M,3.7699
11,0,0.8612,S,E11S,0.9893
11,0,0.8612,S,E22S,1.9787
11,0,0.8612,S,E33S,3.9574
11,0,0.8612,S,E44S,4.9467
11,1,0.9029,S,E11S,0.9437
11,1,0.9029,S,E22S,1.8873
11,1,0.9029,S,E33S,3.7746
11,1,0.9029,S,E44S,4.7183
11,2,0.9492,M,E11M,2.6928
11,2,0.9492,M,E22M,5.3856
11,3,0.9995,S,E11S,0.8524
11,3,0.9995,S,E22S,1.7048
11,3,0.9995,S,E33S,3.4096
11,3,0.9995,S,E44S,4.262
11,4,1.0533,S,E11S,0.8089
11,4,1.0533,S,E22S,1.6178
11,4,1.0533,S,E33S,3.2356
11,4,1.0533,S,E44S,4.0446
11,5,1.1099,M,E11M,2.3028
11,5,1.1099,M,E22M,4.6057
11,6,1.1691,S,E11S,0.7288
11,6,1.1691,S,E22S,1.4575
11,6,1.1691,S,E33S,2.9151
11,6,1.1691,S,E44S,3.6438
11,7,1.2304,S,E11S,0.6925
11,7,1.2304,S,E22S,1.3849
11,7,1.2304,S,E33S,2.7698
11,7,1.2304,S,E44S,3.4623
11,8,1.2935,M,E11M,1.976
11,8,1.2935,M,E22M,3.9519
11,9,1.3583,S,E11S,0.6273
11,9,1.3583,S,E22S,1.2545
11,9,1.3583,S,E33S,2.5091
11,9,1.3583,S,E44S,3.1364
11,10,1.4243,S,E11S,0.5982
11,10,1.4243,S,E22S,1.1963
11,10,1.4243,S,E33S,2.3927
11,10,1.4243,S,E44S,2.9909
11,11,1.4916,M,E11M,1.7136
11,11,1.4916,M,E22M,3.4272
12,0,0.9395,M,E11M,2.7207
12,0,0.9395,M,E22M,5.4414
12,1,0.981,S,E11S,0.8685
12,1,0.981,S,E22S,1.7371
12,1,0.981,S,E33S,3.4742
12,1,0.981,S,E44S,4.3427
12,2,1.0267,S,E11S,0.8298
12,2,1.0267,S,E22S,1.6596
12,2,1.0267,S,E33S,3.3192
12,2,1.0267,S,E44S,4.149
12,3,1.0763,M,E11M,2.3748
12,3,1.0763,M,E22M,4.7496
12,4,1.1291,S,E11S,0.7546
12,4,1.1291,S,E22S,1.5092
12,4,1.1291,S,E33S,3.0183
12,4,1.1291,S,E44S,3.7729
12,5,1.1847,S,E11S,0.7192
12,5,1.1847,S,E22S,1.4383
12,5,1.1847,S,E33S,2.8766
12,5,1.1847,S,E44S,3.5958
12,6,1.2428,M,E11M,2.0567
12,6,1.2428,M,E22M,4.1133
12,7,1.303,S,E11S,0.6539
12,7,1.303,S,E22S,1.3078
12,7,1.303,S,E33S,2.6155
12,7,1.303,S,E44S,3.2694
12,8,1.365,S,E11S,0.6242
12,8,1.365,S,E22S,1.2483
12,8,1.365,S,E33S,2.4967
12,8,1.365,S,E44S,3.1209
12,9,1.4286,M,E11M,1.7891
12,9,1.4286,M,E22M,3.5782
12,10,1.4937,S,E11S,0.5704
12,10,1.4937,S,E22S,1.1408
12,10,1.4937,S,E33S,2.2817
12,10,1.4937,S,E44S,2.8521
12,11,1.5599,S,E11S,0.5462
12,11,1.5599,S,E22S,1.0924
12,11,1.5599,S,E33S,2.1848
12,11,1.5599,S,E44S,2.731
12,12,1.6272,M,E11M,1.5708
12,12,1.6272,M,E22M,3.1416
13,0,1.0178,S,E11S,0.8371
13,0,1.0178,S,E22S,1.6743
13,0,1.0178,S,E33S,3.3486
13,0,1.0178,S,E44S,4.1857
13,1,1.0591,M,E11M,2.4134
13,1,1.0591,M,E22M,4.8269
13,2,1.1044,S,E11S,0.7715
13,2,1.1044,S,E22S,1.5429
13,2,1.1044,S,E33S,3.0858
13,2,1.1044,S,E44S,3.8573
13,3,1.1533,S,E11S,0.7388
13,3,1.1533,S,E22S,1.4775
13,3,1.1533,S,E33S,2.9551
13,3,1.1533,S,E44S,3.6939
13,4,1.2052,M,E11M,2.1207
13,4,1.2052,M,E22M,4.2415
13,5,1.2599,S,E11S,0.6762
13,5,1.2599,S,E22S,1.3524
13,5,1.2599,S,E33S,2.7049
13,5,1.2599,S,E44S,3.3811
13,6,1.317,S,E11S,0.6469
13,6,1.317,S,E22S,1.2938
13,6,1.317,S,E33S,2.5877
13,6,1.317,S,E44S,3.2346
13,7,1.3762,M,E11M,1.8573
13,7,1.3762,M,E22M,3.7146
13,8,1.4372,S,E11S,0.5928
13,8,1.4372,S,E22S,1.1856
13,8,1.4372,S,E33S,2.3713
13,8,1.4372,S,E44S,2.9641
13,9,1.4998,S,E11S,0.5681
13,9,1.4998,S,E22S,1.1362
13,9,1.4998,S,E33S,2.2723
13,9,1.4998,S,E44S,2.8404
13,10,1.5638,M,E11M,1.6345
13,10,1.5638,M,E22M,3.2689
13,11,1.6291,S,E11S,0.523
13,11,1.6291,S,E22S,1.046
13,11,1.6291,S,E33S,2.092
13,11,1.6291,S,E44S,2.615
13,12,1.6955,S,E11S,0.5025
13,12,1.6955,S,E22S,1.005
13,12,1.6955,S,E33S,2.0101
13,12,1.6955,S,E44S,2.5126
13,13,1.7628,M,E11M,1.45
13,13,1.7628,M,E22M,2.8999
14,0,1.096,S,E11S,0.7773
14,0,1.096,S,E22S,1.5547
14,0,1.096,S,E33S,3.1094
14,0,1.096,S,E44S,3.8867
14,1,1.1372,S,E11S,0.7492
14,1,1.1372,S,E22S,1.4984
14,1,1.1372,S,E33S,2.9968
14,1,1.1372,S,E44S,3.746
14,2,1.1821,M,E11M,2.1622
14,2,1.1821,M,E22M,4.3244
14,3,1.2304,S,E11S,0.6925
14,3,1.2304,S,E22S,1.3849
14,3,1.2304,S,E33S,2.7698
14,3,1.2304,S,E44S,3.4623
14,4,1.2816,S,E11S,0.6648
